"home_name","url","licensee","home_type","beds","additional_information","status","inspections"
"ELGINWOOD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2869","Axr Operating (National) Lp","For-Profit",124,"","Open",26
"ÃLISABETH-BRUYÃRE RESIDENCE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2759","BruyÃ¨re Continuing Care Inc.","Non-Profit",71,"","Open",55
"ELIZABETH CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2868","Valley East Long Term Care Centre Inc.","For-Profit",128,"","Open",58
"ELM GROVE LIVING CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2515","Elm Grove Living Centre Inc.","For-Profit",126,"","Open",14
"ELMWOOD PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2662","Revera Long Term Care Inc.","For-Profit",78,"","Open",48
"EMO HEALTH CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2831","Riverside Health Care Facilities Inc.","Non-Profit",12,"","Open",1
"ERIN MILLS LODGE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2736","Schlegel Villages Inc.","For-Profit",86,"","Open",33
"ERRINRUNG LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2513","Cvh (No. 8) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",60,"","Open",27
"ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-ELDCAP)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2755","Espanola General Hospital","Non-Profit",30,"","Open",6
"ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2932","Espanola General Hospital","Non-Profit",32,"","Open",13
"EXETER VILLA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2749","Atk Care Inc.","For-Profit",47,"","Open",16
"EXTENDICARE BAYVIEW","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2460","Extendicare (Canada) Inc.","For-Profit",205,"","Open",32
"EXTENDICARE BRAMPTON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2847","Extendicare (Canada) Inc.","For-Profit",150,"","Open",28
"EXTENDICARE COBOURG","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2851","Extendicare (Canada) Inc.","For-Profit",69,"","Open",44
"EXTENDICARE FALCONBRIDGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2590","Extendicare (Canada) Inc.","For-Profit",234,"","Open",66
"EXTENDICARE GUILDWOOD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2164","Extendicare (Canada) Inc.","For-Profit",169,"","Open",45
"EXTENDICARE HALIBURTON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2644","Extendicare (Canada) Inc.","For-Profit",60,"","Open",19
"EXTENDICARE HALTON HILLS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2892","Extendicare (Canada) Inc.","For-Profit",130,"","Open",56
"EXTENDICARE HAMILTON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2858","Extendicare (Canada) Inc.","For-Profit",160,"","Open",44
"EXTENDICARE KAPUSKASING","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2610","Extendicare (Canada) Inc.","For-Profit",61,"","Open",27
"EXTENDICARE KAWARTHA LAKES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2838","Extendicare (Canada) Inc.","For-Profit",64,"","Open",15
"EXTENDICARE KINGSTON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2616","Extendicare (Canada) Inc.","For-Profit",150,"","Open",26
"EXTENDICARE KIRKLAND LAKE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2670","Extendicare (Canada) Inc.","For-Profit",100,"","Open",20
"EXTENDICARE LAKEFIELD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2843","Extendicare (Canada) Inc.","For-Profit",100,"","Open",20
"EXTENDICARE LAURIER MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2665","New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",242,"Name: Cameron Love Position: President & CEO 1053 Carling Avenue Ottawa ON K1Y 4E9 Phone: E-mail: clove@toh.ca","Open",90
"EXTENDICARE LONDON","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2173","Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",170,"","Open",59
"EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3043","Extendicare (Canada) Inc.","For-Profit",256,"","Open",55
"EXTENDICARE MEDEX","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2579","Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",193,"","Open",67
"EXTENDICARE MISSISSAUGA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2884","Extendicare (Canada) Inc.","For-Profit",140,"","Open",21
"EXTENDICARE NEW ORCHARD LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2302","New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",111,"","Open",28
"EXTENDICARE OSHAWA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2439","Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",175,"","Open",48
"EXTENDICARE PETERBOROUGH","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2572","Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",174,"","Open",33
"EXTENDICARE PORT HOPE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2925","Extendicare (Canada) Inc.","For-Profit",128,"","Open",29
"EXTENDICARE PORT STANLEY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2669","Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",60,"","Open",25
"EXTENDICARE ROUGE VALLEY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2883","Extendicare (Canada) Inc.","For-Profit",192,"","Open",36
"EXTENDICARE SCARBOROUGH","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2117","Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",154,"","Open",34
"EXTENDICARE SOUTHWOOD LAKES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2842","Extendicare (Canada) Inc.","For-Profit",150,"","Open",105
"EXTENDICARE ST. CATHARINES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2321","Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",153,"","Open",27
"EXTENDICARE STARWOOD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2485","Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",192,"","Open",58
"EXTENDICARE TECUMSEH","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2904","Extendicare (Canada) Inc.","For-Profit",128,"","Open",77
"EXTENDICARE TENDERCARE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2601","New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",120,"HOME CLOSED on 04/15/2013","Closed",3
"EXTENDICARE TIMMINS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3044","Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",180,"","Open",43
"EXTENDICARE TRI-TOWN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2615","Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",60,"","Open",15
"EXTENDICARE VAN DAELE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2609","New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",100,"","Open",25
"EXTENDICARE WEST END VILLA","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2709","New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",242,"Name: Cameron Love Position: President & CEO 1053 Carling Avenue Ottawa ON K1Y 4E9 Phone: E-mail: clove@toh.ca","Open",109
"EXTENDICARE YORK","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2604","Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.]","For-Profit",288,"","Open",67
"F. J. DAVEY HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2936","F. J. Davey Home","Non-Profit",374,"","Open",72
"FAIRFIELD PARK","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2823","Lapointe-fisher Nursing Home, Limited","For-Profit",99,"","Open",33
"FAIRHAVEN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M520","City And County Of Peterborough","Municipal",256,"","Open",37
"FAIRMOUNT HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M521","The Corporation Of The County Of Frontenac","Municipal",128,"","Open",37
"FAIRVERN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M634","The District Of The Municipality Of Muskoka","Municipal",76,"","Open",0
"FAIRVERN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2708","Huntsville District Nursing Home Inc.","Non-Profit",76,"","Open",23
"FAIRVIEW LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M522","Regional Municipality Of Durham","Municipal",198,"","Open",46
"FAIRVIEW MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2973","Almonte General Hospital","Non-Profit",112,"","Open",30
"FAIRVIEW MENNONITE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C524","Fairview Mennonite Homes","Non-Profit",84,"","Open",12
"FAIRVIEW NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2723","Fairview Nursing Home Limited","For-Profit",108,"","Open",34
"FAITH MANOR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2745","Holland Christian Homes Inc.","Non-Profit",120,"","Open",36
"FENELON COURT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2850","Axr Operating (National) Lp","For-Profit",67,"","Open",21
"FIDDICK'S NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2673","Fiddick's Nursing Home Limited","For-Profit",128,"","Open",39
"FIELDSTONE COMMONS CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2906","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",224,"","Open",45
"FINLANDIA HOIVAKOTI NURSING HOME LIMITED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2829","Finlandia Nursing Home Limited","For-Profit",112,"","Open",36
"FOREST HEIGHTS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2707","Revera Long Term Care Inc.","For-Profit",240,"","Open",104
"FOREST HILL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2834","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",160,"","Open",40
"FOSTERBROOKE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2625","Revera Long Term Care Inc.","For-Profit",88,"","Open",21
"FOUNTAIN VIEW CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2836","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",158,"","Open",44
"FOX RIDGE CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2570","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",122,"","Open",61
"FOYER DES PIONNIERS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2940","Foyer Hearst - Mattice - Soins De Sante","Non-Profit",67,"","Open",11
"FOYER RICHELIEU WELLAND","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C590","Foyer Richelieu Welland","Non-Profit",63,"","Open",43
"FOYER ST-VIATEUR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2746","Genesis Gardens Inc.","For-Profit",57,"","Open",51
"FRANKLIN GARDENS LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2602","Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.","For-Profit",120,"","Open",60
"FRIENDLY MANOR NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0934","Manorcare Partners Ii","For-Profit",60,"","Open",30
"FROST MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2703","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",62,"","Open",20
"FUDGER HOUSE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M524","Toronto Long-term Care Homes And Services","Municipal",250,"","Open",20
"GARDEN CITY MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2364","Revera Long Term Care Inc.","For-Profit",200,"","Open",55
"GARDEN COURT NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1133","Shaparrall Limited","For-Profit",45,"","Open",9
"GARDEN TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2882","0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership","For-Profit",160,"","Open",60
"GARDENVIEW LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2961","Parkview Meadows Christian Retirement Village","Non-Profit",64,"","Open",15
"GARRY J. ARMSTRONG HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M622","City Of Ottawa","Municipal",180,"","Open",77
"GATEWAY HAVEN LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M526","Corporation Of The County Of Bruce","Municipal",100,"","Open",22
"GEORGIAN BAY GENERAL HOSPITAL - ONE NORTH","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7074","Georgian Bay General Hospital","Non-Profit",36,"Home Closed on 11/01/2014","Closed",3
"GEORGIAN HEIGHTS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2638","Grosvenor Health Care Partnership (No. 3)","For-Profit",40,"","Open",18
"GEORGIAN MANOR HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M527","Corporation Of The County Of Simcoe","Municipal",143,"","Open",20
"GERALDTON DISTRICT HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2764","Geraldton District Hospital","Non-Profit",19,"","Open",9
"GILMORE LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M528","The Regional Municipality Of Niagara","Municipal",80,"","Open",16
"GLEBE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2811","The Glebe Centre Incorporated","Non-Profit",254,"","Open",57
"GLEN HILL MARNWOOD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0981","Glen Hill Terrace Christian Homes Inc.","Non-Profit",60,"","Open",22
"GLEN HILL STRATHAVEN","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2605","Glen Hill Terrace Christian Homes Inc.","Non-Profit",199,"","Open",52
"GLEN HILL TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3053","Glen Hill Terrace Christian Homes Inc.","Non-Profit",160,"","Open",4
"GLEN-STOR-DUN LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M529","The Corporation Of The City Of Cornwall","Municipal",132,"","Open",42
"GOLDEN DAWN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2705","Golden Dawn Senior Citizen Home","Non-Profit",45,"","Open",19
"GOLDEN MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M530","Corporation Of The City Of Timmins","Municipal",177,"","Open",21
"GOLDEN PLOUGH LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M531","The Corporation Of The County Of Northumberland","Municipal",151,"","Open",67
"GOLDEN YEARS NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1033","Golden Years Nursing Homes (Cambridge) Inc.","For-Profit",90,"","Open",51
"GOOD SAMARITAN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2588","Clurelea Ltd.","For-Profit",64,"","Open",11
"GRACE MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2942","Holland Christian Homes Inc.","Non-Profit",120,"","Open",40
"GRACE VILLA NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2741","Grace Villa Limited","For-Profit",184,"","Open",78
"GRAND RIVER HOSPITAL - FREEPORT SITE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7081","Lutheran Homes Kitchener-waterloo","Non-Profit",34,"Home Closed on 03/31/2014","Closed",3
"GRANDVIEW LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M533","The Corporation Of The City Of Thunder Bay","Municipal",0,"Home Closed on 02/24/2016","Closed",18
"GRANDVIEW LODGE / DUNNVILLE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M532","The Corporation Of Haldimand County","Municipal",128,"","Open",37
"GRANITE RIDGE CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2879","Specialty Care Ottawa Inc.","For-Profit",224,"","Open",40
"GREAT NORTHERN NURSING CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7076","Extendicare (Canada) Inc.","For-Profit",95,"HOME CLOSED on 04/19/2013","Closed",10
"GREENWOOD COURT","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C593","Tri-county Mennonite Homes","Non-Profit",45,"","Open",16
"GREY GABLES HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M606","Corporation Of The County Of Grey","Municipal",66,"","Open",38
"GROVE PARK HOME FOR SENIOR CITIZENS","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2950","Grove Park Home For Senior Citizens","Non-Profit",143,"","Open",24
"GROVES PARK LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2646","Gem Health Care Group Limited","For-Profit",90,"","Open",16
"H.J. MCFARLAND MEMORIAL HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M556","County Of Prince Edward","Municipal",84,"","Open",64
"HALLOWELL HOUSE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0891","Revera Long Term Care Inc.","For-Profit",97,"","Open",44
"HAMILTON CONTINUING CARE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2706","Schlegel Villages Inc.","For-Profit",64,"","Open",41
"HAMPTON TERRACE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2846","Unger Nursing Homes Limited","For-Profit",101,"","Open",27
"HANOVER CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2770","Hanover Nursing Home Limited","For-Profit",41,"","Open",18
"HARDY TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2720","Diversicare Canada Management Services Co., Inc.","For-Profit",101,"","Open",47
"HARMONY HILLS CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2832","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",160,"","Open",16
"HAROLD AND GRACE BAKER CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2732","Harold And Grace Baker Centre","Non-Profit",120,"","Open",23
"HASTINGS CENTENNIAL MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M537","The Corporation Of The County Of Hastings","Municipal",110,"","Open",38
"HASTINGS MANOR HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M538","The Corporation Of The County Of Hastings","Municipal",253,"","Open",76
"HAWTHORN WOODS CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2887","2063414 Ontario Limited As General Partner Of 2063414 Investment Lp","For-Profit",160,"","Open",66
"HAWTHORNE PLACE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2586","Rykka Care Centres Lp","For-Profit",269,"","Open",96
"HEARTWOOD (FKA VERSA-CARE CORNWALL)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2088","Heartwood Operating Inc.","For-Profit",118,"","Open",43
"HEIDEHOF LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2960","Benevolent Society ""heidehof"" For The Care Of The Aged","Non-Profit",106,"","Open",15
"HELEN HENDERSON NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2728","Gibson Holdings (Ontario) Ltd.","For-Profit",104,"","Open",55
"HELLENIC CARE FOR SENIORS (TORONTO)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2798","Hellenic Care For Seniors (Toronto) Inc.","Non-Profit",81,"","Open",15
"HELLENIC HOME - SCARBOROUGH","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2941","Hellenic Home For The Aged Inc.","Non-Profit",128,"","Open",35
"HENLEY PLACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=3045","Henley Place Limited","For-Profit",192,"","Open",70
"HERITAGE GREEN NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2776","Heritage Green Nursing Home","Non-Profit",167,"","Open",56
"HERON TERRACE LONG TERM CARE COMMUNITY","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2898","S & R Nursing Homes Ltd.","For-Profit",140,"","Open",90
"HIGHLAND WOOD","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C602","Haliburton Highlands Health Services Corporation","Non-Profit",30,"","Open",9
"HILLCREST VILLAGE CARE CENTRE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2828","Hillcrest Village Inc.","For-Profit",164,"","Open",28
"HILLEL LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C601","The Ottawa Jewish Home For The Aged","Non-Profit",121,"","Open",55
"HILLSDALE ESTATES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M539","Regional Municipality Of Durham","Municipal",300,"","Open",57
"HILLSDALE TERRACES","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M630","Regional Municipality Of Durham","Municipal",200,"","Open",59
"HILLSIDE MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1975","Revera Long Term Care Inc.","For-Profit",90,"","Open",28
"HILLTOP MANOR NURSING HOME (MERRICKVILLE)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2645","Hilltop Manor Nursing Home","For-Profit",60,"","Open",40
"HOGARTH RIVERVIEW MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2923","St. Joseph's Care Group","Non-Profit",543,"","Open",94
"HOPE STREET TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2639","Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","For-Profit",97,"","Open",41
"HORNEPAYNE COMMUNITY HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2771","Hornepayne Community Hospital","Non-Profit",12,"","Open",7
"HUMBER VALLEY TERRACE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2716","Humber Valley Terrace Operating Inc.","For-Profit",158,"","Open",31
"HUNTSVILLE DISTRICT MEMORIAL HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7070","Huntsville District Memorial Hospital","Non-Profit",0,"CLOSED as of March 31, 2013","Closed",0
"HURON LODGE LONG TERM CARE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M631","Corporation Of The City Of Windsor","Municipal",224,"","Open",46
"HURONLEA HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M601","Corporation Of The County Of Huron","Municipal",64,"","Open",27
"HURONVIEW HOME FOR THE AGED","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M541","Corporation Of The County Of Huron","Municipal",120,"","Open",38
"HYLAND CREST","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M542","Haliburton Highlands Health Services Corporation","Municipal",62,"","Open",21
"IDLEWYLD MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2931","Idlewyld Manor","Non-Profit",192,"","Open",58
"ILER LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2129","Axr Operating (National) Lp","For-Profit",104,"","Open",113
"INA GRAFTON GAGE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C609","Ina Grafton Gage Home Of Toronto","Non-Profit",128,"","Open",62
"IOOF SENIORS HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C525","Ioof Seniors Homes Inc.","Non-Profit",188,"","Open",30
"IROQUOIS LODGE NURSING HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2724","Six Nations Of The Grand River","Non-Profit",50,"","Open",18
"ISABEL AND ARTHUR MEIGHEN MANOR","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C603","The Governing Council Of The Salvation Army In Canada","Non-Profit",168,"","Open",38
"IVAN FRANKO HOME (ETOBICOKE)","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=C530","Ukrainian Home For The Aged","Non-Profit",85,"","Open",10
"JOHN NOBLE HOME","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=M544","The John Noble Home","Municipal",156,"","Open",20
"KEMPTVILLE DISTRICT HOSPITAL","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=7073","Kemptville District Hospital","Non-Profit",12,"","Open",7
"KENNEDY LODGE","http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2654","Revera Long Term Care Inc.","For-Profit",289,"","Open",24
